Date,Close,High,Low,Open,Volume
,MKR-USD,MKR-USD,MKR-USD,MKR-USD,MKR-USD
2017-11-20,272.4490051269531,278.2309875488281,252.40199279785156,252.48199462890625,259174
2017-11-21,279.9200134277344,288.9259948730469,260.0190124511719,272.0199890136719,9649
2017-11-22,326.1919860839844,400.64898681640625,280.0509948730469,280.2770080566406,14577
2017-11-23,347.4360046386719,359.4989929199219,320.864990234375,326.9419860839844,1187
2017-11-24,401.82501220703125,408.135009765625,339.25299072265625,345.6969909667969,166167
2017-11-25,395.2619934082031,423.2900085449219,364.45098876953125,401.7590026855469,200519
2017-11-26,404.7860107421875,406.6319885253906,374.6889953613281,395.2749938964844,12132
2017-11-27,421.4570007324219,572.864013671875,393.3710021972656,404.68499755859375,1993
2017-11-28,382.07000732421875,423.5559997558594,381.75,420.8800048828125,29741
2017-11-29,327.5429992675781,420.1610107421875,319.7139892578125,382.37701416015625,1699
2017-11-30,381.3580017089844,385.39300537109375,308.1820068359375,331.7380065917969,16339
2017-12-01,376.91900634765625,391.5539855957031,341.8800048828125,380.4119873046875,5627
2017-12-02,373.3999938964844,405.9779968261719,372.5740051269531,376.90899658203125,2612
2017-12-03,403.03399658203125,420.7550048828125,369.69000244140625,373.5260009765625,6007
2017-12-04,396.22601318359375,411.2770080566406,384.1780090332031,403.7770080566406,4042
2017-12-05,396.34600830078125,402.7449951171875,377.60400390625,396.4289855957031,11304
2017-12-06,361.18798828125,397.135009765625,353.89898681640625,395.6499938964844,53172
2017-12-07,358.6440124511719,377.8179931640625,347.22698974609375,359.9330139160156,65610
2017-12-08,402.7699890136719,410.1239929199219,350.31500244140625,359.1650085449219,36391
2017-12-09,425.99700927734375,453.3059997558594,402.760009765625,402.760009765625,3864
2017-12-10,399.8039855957031,427.364013671875,388.3919982910156,427.364013671875,65534
2017-12-11,486.5050048828125,486.5050048828125,391.80499267578125,400.2550048828125,71980
2017-12-12,621.989990234375,626.8590087890625,462.1730041503906,483.385009765625,118742
2017-12-13,820.7459716796875,822.5969848632812,553.2789916992188,622.416015625,100344
2017-12-14,802.791015625,872.260009765625,763.52001953125,820.3189697265625,63565
2017-12-15,791.0380249023438,861.780029296875,712.2769775390625,803.5419921875,206328
2017-12-16,1079.239990234375,1116.5699462890625,792.5360107421875,792.5360107421875,731649
2017-12-17,1070.18994140625,1154.9200439453125,1046.6600341796875,1082.260009765625,259197
2017-12-18,1218.4200439453125,1229.9000244140625,992.4119873046875,1068.780029296875,455522
2017-12-19,1394.93994140625,1750.030029296875,1219.75,1221.989990234375,1282490
2017-12-20,1277.5699462890625,1458.469970703125,1118.4599609375,1393.449951171875,262010
2017-12-21,1095.18994140625,1361.1400146484375,1021.4600219726562,1278.93994140625,799675
2017-12-22,823.39501953125,1111.0899658203125,682.655029296875,1098.969970703125,633680
2017-12-23,989.8209838867188,1084.72998046875,830.239990234375,830.239990234375,599721
2017-12-24,1005.5999755859375,1103.9300537109375,809.2020263671875,1001.1500244140625,245322
2017-12-25,1047.199951171875,1054.780029296875,918.2769775390625,1012.0,357740
2017-12-26,1064.3299560546875,1114.469970703125,823.5490112304688,1053.56005859375,943383
